iter	RMSE
168	446.6887474
169	446.2228575
170	446.0856872
171	445.8050318
172	445.3066449
173	445.0659414
174	444.9595226
175	444.881901
176	444.7522576
177	444.6179398
178	444.2884386
179	444.1486539
180	443.9404447
181	443.7039308
182	443.5178828
183	443.2439457
184	442.9401917
185	442.8734347
186	442.6929218
187	442.6002289
188	442.5030609
189	442.3498746
190	442.2956089
191	441.9575491
192	441.7398957
193	441.5575847
194	441.3814463
195	441.1955465
196	441.161034
197	441.0407225
198	440.8020973
199	440.6675388
200	440.553683
201	440.2253889
202	440.1602366
203	439.9561599
204	439.8961049
205	439.6324377
206	439.6108137
207	439.3176715
208	439.1072017
209	438.8914739
210	438.769708
211	438.5750724
212	438.5547943
213	438.2851608
214	437.9413929
215	437.9172594
216	437.8983167
217	437.643634
218	437.6194507
219	437.3088077
220	436.9682204
221	436.8022537
222	436.5975093
223	436.5800406
224	436.5187786
225	436.1900488
226	436.168286
227	435.6550882
228	435.2291337
229	434.8509284
230	434.7995301
231	434.770291
232	434.7550177
233	434.71514
234	434.5652899
235	434.2793385
236	434.1454891
237	433.9913037
238	433.7000813
239	433.4959094
240	433.102613
241	433.0893341
242	432.6210506
243	432.2564589
244	432.1342714
245	431.8061657
246	431.539411
247	431.5264957
248	431.4238922
249	431.1903987
250	431.0306587
251	430.8216534
252	430.8019669
253	430.5050286
254	430.3184002
255	430.0912562
256	429.8586837
257	429.7220383
258	429.6977161
259	429.5759001
260	429.3965979
261	429.0689167
262	428.9580007
263	428.7927446
264	428.6012391
265	428.4913328
266	428.4732444
267	428.2700569
268	428.0438457
269	427.8916046
270	427.6816278
271	427.5539799
272	427.532864
273	427.2903751
274	427.0739881
275	426.9834464
276	426.8157902
277	426.6335191
278	426.6172578
279	426.4784982
280	426.1678089
281	426.0442355
282	426.0235731
283	426.0036798
284	425.7750246
285	425.5853432
286	425.3991561
287	425.1860674
288	424.9807272
289	424.7839368
290	424.5588979
291	424.5396085
292	424.3553681
293	424.075554
294	423.880997
295	423.8023757
296	423.6019842
297	423.4277784
298	423.2591456
299	423.0791719
300	422.7739805
301	422.7586453
302	422.4387509
303	422.228877
304	422.0342061
305	421.8244235
306	421.8097792
307	421.5052968
308	421.238641
309	420.9702039
310	420.8674894
311	420.8313216
312	420.6549463
313	420.5405462
314	420.3878273
315	420.3742513
316	420.1985226
317	420.0132538
318	419.9366411
319	419.8350919
320	419.7110618
321	419.6947807
322	419.6092706
323	419.5234444
324	419.2389411
325	419.045747
326	419.0342611
327	418.9249211
328	418.7888203
329	418.5708751
330	418.2717527
331	418.0820015
332	417.9115672
333	417.8929518
334	417.7907481
335	417.6165327
336	417.4103413
337	417.2647753
338	416.9998972
339	416.9127169
340	416.8981221
341	416.7787854
342	416.6190795
343	416.4882182
344	416.4745064
345	416.3226986
346	416.3094348
347	416.0998982
348	415.9630446
349	415.9304112
350	415.7008997
351	415.5336443
352	415.3790846
353	415.2279322
354	415.1145785
355	415.0090157
356	414.8379778
357	414.825242
358	414.7001993
359	414.5640743
360	414.4727346
361	414.2052351
362	414.0905375
363	413.9423442
364	413.8595473
365	413.694039
366	413.4919906
367	413.3283527
368	413.2916759
369	413.2463738
370	413.0692049
371	412.8866346
372	412.7375796
373	412.631189
374	412.4841824
375	412.4724164
376	412.3212877
377	412.2242809
378	412.0530736
379	411.9228196
380	411.9113878
381	411.8093741
382	411.6831832
383	411.6093942
384	411.5235317
385	411.3804913
386	411.2334195
387	411.1824733
388	411.0602372
389	410.9629429
390	410.7416147
391	410.7308628
392	410.662061
393	410.5707888
394	410.4233335
395	410.3807405
396	410.3581598
397	410.3206064
398	410.242271
399	410.1299046
400	410.0386481
401	409.8548114
402	409.6770942
403	409.6159908
404	409.5783726
405	409.241879
406	409.1883382
407	409.0614138
408	409.02549
409	408.9274489
410	408.7343606
411	408.646136
412	408.5068935
413	408.4074975
414	408.3722876
415	408.2797828
416	408.2188264
417	408.1499206
418	408.1103135
419	408.0180679
420	407.9174734
421	407.7697637
422	407.6758451
423	407.4672009
424	407.4006229
425	407.3731655
426	407.2879714
427	407.0889756
428	407.0645519
429	407.0549538
430	406.8923776
431	406.6553646
432	406.5103128
433	406.316402
434	406.2356805
435	406.1489615
436	406.1274619
437	406.0504583
438	405.6863936
439	405.6037578
440	405.5259907
441	405.3529841
442	405.1789168
443	405.1450026
444	405.0876218
445	404.8996854
446	404.6388873
447	404.5547781
448	404.4023327
449	404.2600947
450	404.2256516
451	404.0885716
452	403.9505635
453	403.7873324
454	403.6749917
455	403.5293601
456	403.4606715
457	403.4479092
458	403.4058688
459	403.248673
460	403.1409501
461	403.0181313
462	403.0062942
463	402.8885643
464	402.8704558
465	402.8638764
466	402.7008376
467	402.6000807
468	402.5907012
469	402.5838716
470	402.5088176
471	402.4922628
472	402.2501895
473	402.1624218
474	402.0881046
475	401.976491
476	401.8969931
477	401.8454346
478	401.8112401
479	401.7335091
480	401.6878826
481	401.5781426
482	401.5348654
483	401.4593004
484	401.4001121
485	401.3371308
486	401.3045958
487	401.1510402
488	401.1469459
489	401.1407863
490	401.0721404
491	400.9884609
492	400.9834236
493	400.9271554
494	400.7141232
495	400.7091943
496	400.6336302
497	400.5329235
498	400.5042648
499	400.4162489
